date	estado	regiao	variavel	quantidade
2020-01-30	Ceará	Nordeste	Suspeitos	1
2020-01-30	Ceará	Nordeste	Descartados	0
2020-01-30	Ceará	Nordeste	Confirmados	0
2020-01-30	Ceará	Nordeste	Mortes	0
2020-01-30	Minas Gerais	Sudeste	Suspeitos	1
2020-01-30	Minas Gerais	Sudeste	Descartados	0
2020-01-30	Minas Gerais	Sudeste	Confirmados	0
2020-01-30	Minas Gerais	Sudeste	Mortes	0
2020-01-30	Paraná	Sul	Suspeitos	1
2020-01-30	Paraná	Sul	Descartados	1
2020-01-30	Paraná	Sul	Confirmados	0
2020-01-30	Paraná	Sul	Mortes	0
2020-01-30	Rio de Janeiro	Sudeste	Suspeitos	1
2020-01-30	Rio de Janeiro	Sudeste	Descartados	0
2020-01-30	Rio de Janeiro	Sudeste	Confirmados	0
2020-01-30	Rio de Janeiro	Sudeste	Mortes	0
2020-01-30	Rio Grande do Sul	Sul	Suspeitos	2
2020-01-30	Rio Grande do Sul	Sul	Descartados	2
2020-01-30	Rio Grande do Sul	Sul	Confirmados	0
2020-01-30	Rio Grande do Sul	Sul	Mortes	0
2020-01-30	Santa Catarina	Sul	Suspeitos	0
2020-01-30	Santa Catarina	Sul	Descartados	2
2020-01-30	Santa Catarina	Sul	Confirmados	0
2020-01-30	Santa Catarina	Sul	Mortes	0
2020-01-30	São Paulo	Sudeste	Suspeitos	3
2020-01-30	São Paulo	Sudeste	Descartados	1
2020-01-30	São Paulo	Sudeste	Confirmados	0
2020-01-30	São Paulo	Sudeste	Mortes	0
2020-01-31	Ceará	Nordeste	Suspeitos	1
2020-01-31	Ceará	Nordeste	Descartados	0
2020-01-31	Ceará	Nordeste	Confirmados	0
2020-01-31	Ceará	Nordeste	Mortes	0
2020-01-31	Minas Gerais	Sudeste	Suspeitos	1
2020-01-31	Minas Gerais	Sudeste	Descartados	0
2020-01-31	Minas Gerais	Sudeste	Confirmados	0
2020-01-31	Minas Gerais	Sudeste	Mortes	0
2020-01-31	Paraná	Sul	Suspeitos	1
2020-01-31	Paraná	Sul	Descartados	1
2020-01-31	Paraná	Sul	Confirmados	0
2020-01-31	Paraná	Sul	Mortes	0
