estado	regiao	variavel	var_7d	var_3d	var_1d	valor_atual
Ceará	Nordeste	Suspeitos	-1	-1		0
Minas Gerais	Sudeste	Descartados	-1	-1		0
Paraná	Sul	Confirmados	8	1,34782608695652	0,255813953488372	54
Rio de Janeiro	Sudeste	Mortes		0,5	0	3
Rio Grande do Sul	Sul	Suspeitos	-1	-1	-1	0
Santa Catarina	Sul	Descartados	-1	-1		0
São Paulo	Sudeste	Confirmados	3,63970588235294	1,20629370629371	0,374727668845316	631
Distrito Federal	Centro-Oeste	Mortes				0
Bahia	Nordeste	Suspeitos	8,24615384615385	0,144761904761905	-0,437265917602996	601
Espírito Santo	Sudeste	Descartados	11	0,702702702702703	0,647058823529412	252
Paraíba	Nordeste	Confirmados		0	-0,5	1
Pernambuco	Nordeste	Mortes				0
Alagoas	Nordeste	Suspeitos	5,35714285714286	1,34210526315789	0,508474576271186	89
Goiás	Centro-Oeste	Descartados	2,46938775510204	0,73469387755102	0,73469387755102	170
Mato Grosso do Sul	Centro-Oeste	Confirmados		1,33333333333333	0,3125	21
Rio Grande do Norte	Nordeste	Mortes				0
Amazonas	Norte	Suspeitos		-1	-1	0
Maranhão	Nordeste	Descartados	67	5,18181818181818	0,00740740740740731	136
Mato Grosso	Centro-Oeste	Confirmados			0	2
Pará	Norte	Mortes				0
Piauí	Nordeste	Suspeitos	-1	-1	-1	0
Rondônia	Norte	Descartados	29	2,75	2,33333333333333	30
Sergipe	Nordeste	Confirmados	9	0,666666666666667	0	10
Acre	Norte	Mortes				0
Tocantins	Norte	Suspeitos	-1	-1	-1	0
Amapá	Norte	Descartados			-0,169491525423729	49
Roraima	Norte	Confirmados			0	2
Ceará	Nordeste	Mortes				0
Minas Gerais	Sudeste	Suspeitos	66,8301886792453	2,35981308411215	0,226543841692255	7190
Paraná	Sul	Descartados	2,18	0,30327868852459	-0,0755813953488372	159
Rio de Janeiro	Sudeste	Confirmados	6,75	1,81818181818182	0,563025210084034	186
Rio Grande do Sul	Sul	Mortes				0
Santa Catarina	Sul	Suspeitos	-1	-1	-1	0
São Paulo	Sudeste	Descartados	-1	-1		0
Distrito Federal	Centro-Oeste	Confirmados	13,625	0,392857142857143	0,0833333333333333	117
Bahia	Nordeste	Mortes				0
Espírito Santo	Sudeste	Suspeitos	12,6470588235294	0,426229508196721	0,432098765432099	696
Paraíba	Nordeste	Descartados	2,63636363636364	1,5	0	40
Pernambuco	Nordeste	Confirmados	17,5	0,321428571428571	0,321428571428571	37
Alagoas	Nordeste	Mortes				0
Goiás	Centro-Oeste	Suspeitos	190,25	1,52475247524752	1,52475247524752	765
Mato Grosso do Sul	Centro-Oeste	Descartados	9,25	0,333333333333333	0,0314465408805031	164
Rio Grande do Norte	Nordeste	Confirmados	8	8	0,5	9
Amazonas	Norte	Mortes				0
Maranhão	Nordeste	Suspeitos	45,6666666666667	0,365853658536585	0,308411214953271	280
Mato Grosso	Centro-Oeste	Descartados	-1	-1	-1	0
Pará	Norte	Confirmados			1	4
Piauí	Nordeste	Mortes				0
Rondônia	Norte	Suspeitos	80,5	0,940476190476191	0,18978102189781	163
Sergipe	Nordeste	Descartados	-1	-1		0
Acre	Norte	Confirmados		1,75	0	11
Tocantins	Norte	Mortes				0
Amapá	Norte	Suspeitos	83	0,3125	0,527272727272727	84
Roraima	Norte	Descartados		-1	-1	0
Ceará	Nordeste	Confirmados		4,20833333333333	0,488095238095238	125
Minas Gerais	Sudeste	Mortes				0
Paraná	Sul	Suspeitos	15,925	8,27397260273973	3,95970695970696	1354
Rio de Janeiro	Sudeste	Descartados	-1	-1		0
Rio Grande do Sul	Sul	Confirmados	11	1,32258064516129	0,180327868852459	72
Santa Catarina	Sul	Mortes				0
São Paulo	Sudeste	Suspeitos	-1	-1		0
Distrito Federal	Centro-Oeste	Descartados	18,9450549450549	12,544776119403	0,222222222222222	1815
Bahia	Nordeste	Confirmados	23,5	0,633333333333333	0,195121951219512	49
Espírito Santo	Sudeste	Mortes				0
Paraíba	Nordeste	Suspeitos	5,92592592592593	0,355072463768116	1,56164383561644	187
Pernambuco	Nordeste	Descartados	15,304347826087	1,25903614457831	1,25903614457831	375
Alagoas	Nordeste	Confirmados	6	0,75	0	7
Goiás	Centro-Oeste	Mortes				0
Mato Grosso do Sul	Centro-Oeste	Suspeitos	4,06666666666667	0,948717948717949	0,52	76
Rio Grande do Norte	Nordeste	Descartados	-1	-1		0
Amazonas	Norte	Confirmados	25	7,66666666666667	1,36363636363636	26
Maranhão	Nordeste	Mortes				0
Mato Grosso	Centro-Oeste	Suspeitos	-1	-1	-1	0
Pará	Norte	Descartados	3,39130434782609	2,15625	0,328947368421053	101
Piauí	Nordeste	Confirmados		0,333333333333333	0	4
Rondônia	Norte	Mortes				0
Sergipe	Nordeste	Suspeitos	-1	-1		0
Acre	Norte	Descartados			-1	0
Tocantins	Norte	Confirmados		1	0	2
Amapá	Norte	Mortes				0
Roraima	Norte	Suspeitos	7	-0,238095238095238	0,777777777777778	16
Ceará	Nordeste	Descartados	-1	-1		0
Minas Gerais	Sudeste	Confirmados	40,5	1,86206896551724	0,509090909090909	83
Paraná	Sul	Mortes				0
Rio de Janeiro	Sudeste	Suspeitos	-1	-1		0
Rio Grande do Sul	Sul	Descartados	-1	-1	-1	0
Santa Catarina	Sul	Confirmados	8,5	1,71428571428571	0,117647058823529	57
São Paulo	Sudeste	Mortes		3,4	0,466666666666667	22
Distrito Federal	Centro-Oeste	Suspeitos	39,7530864197531	13,0468085106383	0,214942951785057	3301
Bahia	Nordeste	Descartados	-1	-1	-1	0
Espírito Santo	Sudeste	Confirmados	25	1	0	26
Paraíba	Nordeste	Mortes				0
Pernambuco	Nordeste	Suspeitos	16,2222222222222	-0,00321543408360125	-0,00321543408360125	310
Alagoas	Nordeste	Descartados	2	1,17241379310345	0,340425531914894	63
Goiás	Centro-Oeste	Confirmados	6	0,4	0,166666666666667	21
Mato Grosso do Sul	Centro-Oeste	Mortes				0
Rio Grande do Norte	Nordeste	Suspeitos	-1	-1	-1	0
Amazonas	Norte	Descartados	-1	-1	-1	0
Maranhão	Nordeste	Confirmados			1	2
Mato Grosso	Centro-Oeste	Mortes				0
Pará	Norte	Suspeitos	206	1,7972972972973	-0,115384615384615	207
Piauí	Nordeste	Descartados	-1	-1	-1	0
Rondônia	Norte	Confirmados			0	3
Sergipe	Nordeste	Mortes				0
Acre	Norte	Suspeitos	-1	-1	-1	0
Tocantins	Norte	Descartados			-1	0
Amapá	Norte	Confirmados			0	1
Roraima	Norte	Mortes				0
